config_id,dataset,seed,validation_fraction,certification_n,target_threshold,leakage_threshold,deployment_gamma,rule,deployed,selected_candidate,selected_method,certified_radius,certified_group_radii,deployment_support_radius,limiting_contracts,validation_max_target_harm,validation_max_leakage,external_max_target_harm,external_max_leakage,external_contract_satisfied,protocol_safe,false_acceptance,measured_external_contract_violation,preregistered_unsafe_deployment,support_mismatch_forced_abstention
Waterbirds|seed=0|fraction=0.05|tau=0.1|lambda=0.7,Waterbirds,0,0.05,58,0.1,0.7,1.25,always_deploy,True,INLP::rank=1,INLP,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::forest::environment=0::source=0"", ""leakage::linear::environment=0::source=0"", ""leakage::mlp::environment=0::source=0""]",0.0,0.9310344827586207,0.015533310321021747,0.9288919571971005,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.05|tau=0.1|lambda=0.7,Waterbirds,0,0.05,58,0.1,0.7,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.1|lambda=0.7,Waterbirds,0,0.05,58,0.1,0.7,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.1|lambda=0.7,Waterbirds,0,0.05,58,0.1,0.7,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.1|lambda=0.7,Waterbirds,0,0.05,58,0.1,0.7,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.1|lambda=0.8,Waterbirds,0,0.05,58,0.1,0.8,1.25,always_deploy,True,INLP::rank=1,INLP,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""target::environment=1""]",0.0,0.9310344827586207,0.015533310321021747,0.9288919571971005,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.05|tau=0.1|lambda=0.8,Waterbirds,0,0.05,58,0.1,0.8,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.1|lambda=0.8,Waterbirds,0,0.05,58,0.1,0.8,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.1|lambda=0.8,Waterbirds,0,0.05,58,0.1,0.8,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.1|lambda=0.8,Waterbirds,0,0.05,58,0.1,0.8,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.6,Waterbirds,0,0.05,58,0.2,0.6,1.25,always_deploy,True,INLP::rank=1,INLP,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::forest::environment=0::source=0"", ""leakage::linear::environment=0::source=0"", ""leakage::mlp::environment=0::source=0""]",0.0,0.9310344827586207,0.015533310321021747,0.9288919571971005,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.6,Waterbirds,0,0.05,58,0.2,0.6,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.6,Waterbirds,0,0.05,58,0.2,0.6,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.6,Waterbirds,0,0.05,58,0.2,0.6,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.6,Waterbirds,0,0.05,58,0.2,0.6,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.7,Waterbirds,0,0.05,58,0.2,0.7,1.25,always_deploy,True,INLP::rank=1,INLP,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::forest::environment=0::source=0"", ""leakage::linear::environment=0::source=0"", ""leakage::mlp::environment=0::source=0""]",0.0,0.9310344827586207,0.015533310321021747,0.9288919571971005,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.7,Waterbirds,0,0.05,58,0.2,0.7,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.7,Waterbirds,0,0.05,58,0.2,0.7,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.7,Waterbirds,0,0.05,58,0.2,0.7,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.7,Waterbirds,0,0.05,58,0.2,0.7,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.8,Waterbirds,0,0.05,58,0.2,0.8,1.25,always_deploy,True,INLP::rank=1,INLP,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::forest::environment=0::source=0"", ""leakage::linear::environment=0::source=0"", ""leakage::mlp::environment=0::source=0""]",0.0,0.9310344827586207,0.015533310321021747,0.9288919571971005,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.8,Waterbirds,0,0.05,58,0.2,0.8,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.8,Waterbirds,0,0.05,58,0.2,0.8,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.8,Waterbirds,0,0.05,58,0.2,0.8,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.05|tau=0.2|lambda=0.8,Waterbirds,0,0.05,58,0.2,0.8,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.6,Waterbirds,0,0.1,118,0.05,0.6,1.25,always_deploy,True,INLP::rank=1,INLP,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::forest::environment=0::source=0"", ""leakage::mlp::environment=0::source=0""]",0.0,0.9491525423728814,0.015533310321021747,0.9288919571971005,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.6,Waterbirds,0,0.1,118,0.05,0.6,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.6,Waterbirds,0,0.1,118,0.05,0.6,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.6,Waterbirds,0,0.1,118,0.05,0.6,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.6,Waterbirds,0,0.1,118,0.05,0.6,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.7,Waterbirds,0,0.1,118,0.05,0.7,1.25,always_deploy,True,INLP::rank=1,INLP,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::forest::environment=0::source=0"", ""leakage::mlp::environment=0::source=0""]",0.0,0.9491525423728814,0.015533310321021747,0.9288919571971005,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.7,Waterbirds,0,0.1,118,0.05,0.7,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.7,Waterbirds,0,0.1,118,0.05,0.7,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.7,Waterbirds,0,0.1,118,0.05,0.7,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.7,Waterbirds,0,0.1,118,0.05,0.7,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.8,Waterbirds,0,0.1,118,0.05,0.8,1.25,always_deploy,True,INLP::rank=1,INLP,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::forest::environment=0::source=0"", ""leakage::mlp::environment=0::source=0""]",0.0,0.9491525423728814,0.015533310321021747,0.9288919571971005,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.8,Waterbirds,0,0.1,118,0.05,0.8,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.8,Waterbirds,0,0.1,118,0.05,0.8,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.8,Waterbirds,0,0.1,118,0.05,0.8,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.05|lambda=0.8,Waterbirds,0,0.1,118,0.05,0.8,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.6,Waterbirds,0,0.1,118,0.1,0.6,1.25,always_deploy,True,INLP::rank=1,INLP,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::forest::environment=0::source=0"", ""leakage::mlp::environment=0::source=0""]",0.0,0.9491525423728814,0.015533310321021747,0.9288919571971005,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.6,Waterbirds,0,0.1,118,0.1,0.6,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.6,Waterbirds,0,0.1,118,0.1,0.6,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.6,Waterbirds,0,0.1,118,0.1,0.6,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.6,Waterbirds,0,0.1,118,0.1,0.6,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.7,Waterbirds,0,0.1,118,0.1,0.7,1.25,always_deploy,True,INLP::rank=1,INLP,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::forest::environment=0::source=0"", ""leakage::mlp::environment=0::source=0""]",0.0,0.9491525423728814,0.015533310321021747,0.9288919571971005,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.7,Waterbirds,0,0.1,118,0.1,0.7,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.7,Waterbirds,0,0.1,118,0.1,0.7,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.7,Waterbirds,0,0.1,118,0.1,0.7,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.7,Waterbirds,0,0.1,118,0.1,0.7,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.8,Waterbirds,0,0.1,118,0.1,0.8,1.25,always_deploy,True,INLP::rank=1,INLP,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::forest::environment=0::source=0"", ""leakage::mlp::environment=0::source=0""]",0.0,0.9491525423728814,0.015533310321021747,0.9288919571971005,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.8,Waterbirds,0,0.1,118,0.1,0.8,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.8,Waterbirds,0,0.1,118,0.1,0.8,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.8,Waterbirds,0,0.1,118,0.1,0.8,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.1|lambda=0.8,Waterbirds,0,0.1,118,0.1,0.8,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.6,Waterbirds,0,0.1,118,0.2,0.6,1.25,always_deploy,True,INLP::rank=1,INLP,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::forest::environment=0::source=0"", ""leakage::mlp::environment=0::source=0""]",0.0,0.9491525423728814,0.015533310321021747,0.9288919571971005,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.6,Waterbirds,0,0.1,118,0.2,0.6,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.6,Waterbirds,0,0.1,118,0.2,0.6,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.6,Waterbirds,0,0.1,118,0.2,0.6,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.6,Waterbirds,0,0.1,118,0.2,0.6,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.7,Waterbirds,0,0.1,118,0.2,0.7,1.25,always_deploy,True,INLP::rank=1,INLP,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::forest::environment=0::source=0"", ""leakage::mlp::environment=0::source=0""]",0.0,0.9491525423728814,0.015533310321021747,0.9288919571971005,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.7,Waterbirds,0,0.1,118,0.2,0.7,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.7,Waterbirds,0,0.1,118,0.2,0.7,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.7,Waterbirds,0,0.1,118,0.2,0.7,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.7,Waterbirds,0,0.1,118,0.2,0.7,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.8,Waterbirds,0,0.1,118,0.2,0.8,1.25,always_deploy,True,INLP::rank=1,INLP,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::forest::environment=0::source=0"", ""leakage::mlp::environment=0::source=0""]",0.0,0.9491525423728814,0.015533310321021747,0.9288919571971005,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.8,Waterbirds,0,0.1,118,0.2,0.8,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.8,Waterbirds,0,0.1,118,0.2,0.8,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.8,Waterbirds,0,0.1,118,0.2,0.8,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.1|tau=0.2|lambda=0.8,Waterbirds,0,0.1,118,0.2,0.8,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.6,Waterbirds,0,0.25,298,0.05,0.6,1.25,always_deploy,True,TaCo::components_removed=3,TaCo,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::mlp::environment=0::source=0""]",0.04697986577181208,0.8791946308724832,0.072143596824301,0.917155678287884,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.6,Waterbirds,0,0.25,298,0.05,0.6,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.6,Waterbirds,0,0.25,298,0.05,0.6,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.6,Waterbirds,0,0.25,298,0.05,0.6,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.6,Waterbirds,0,0.25,298,0.05,0.6,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.7,Waterbirds,0,0.25,298,0.05,0.7,1.25,always_deploy,True,TaCo::components_removed=3,TaCo,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::mlp::environment=0::source=0""]",0.04697986577181208,0.8791946308724832,0.072143596824301,0.917155678287884,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.7,Waterbirds,0,0.25,298,0.05,0.7,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.7,Waterbirds,0,0.25,298,0.05,0.7,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.7,Waterbirds,0,0.25,298,0.05,0.7,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.7,Waterbirds,0,0.25,298,0.05,0.7,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.8,Waterbirds,0,0.25,298,0.05,0.8,1.25,always_deploy,True,TaCo::components_removed=3,TaCo,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""target::environment=1""]",0.04697986577181208,0.8791946308724832,0.072143596824301,0.917155678287884,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.8,Waterbirds,0,0.25,298,0.05,0.8,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.8,Waterbirds,0,0.25,298,0.05,0.8,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.8,Waterbirds,0,0.25,298,0.05,0.8,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.05|lambda=0.8,Waterbirds,0,0.25,298,0.05,0.8,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.1|lambda=0.6,Waterbirds,0,0.25,298,0.1,0.6,1.25,always_deploy,True,TaCo::components_removed=3,TaCo,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::mlp::environment=0::source=0""]",0.04697986577181208,0.8791946308724832,0.072143596824301,0.917155678287884,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.25|tau=0.1|lambda=0.6,Waterbirds,0,0.25,298,0.1,0.6,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.1|lambda=0.6,Waterbirds,0,0.25,298,0.1,0.6,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.1|lambda=0.6,Waterbirds,0,0.25,298,0.1,0.6,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.1|lambda=0.6,Waterbirds,0,0.25,298,0.1,0.6,1.25,oracle,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.1|lambda=0.7,Waterbirds,0,0.25,298,0.1,0.7,1.25,always_deploy,True,TaCo::components_removed=3,TaCo,0.0,"{""0"": 0.0, ""1"": 0.0}",0.0,"[""leakage::mlp::environment=0::source=0""]",0.04697986577181208,0.8791946308724832,0.072143596824301,0.917155678287884,False,False,True,True,True,False
Waterbirds|seed=0|fraction=0.25|tau=0.1|lambda=0.7,Waterbirds,0,0.25,298,0.1,0.7,1.25,point_selection,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.1|lambda=0.7,Waterbirds,0,0.25,298,0.1,0.7,1.25,iid_ltt,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
Waterbirds|seed=0|fraction=0.25|tau=0.1|lambda=0.7,Waterbirds,0,0.25,298,0.1,0.7,1.25,vera,False,,,0.0,{},0.0,[],,,,,False,False,False,False,False,False
